A,B,C,D,E,F,G
24,27,40,58,73,85,9
4,10,18,31,35,86,85
15,23,29,36,37,68,76
24,47,52,56,73,76,58
2,14,32,37,53,70,33
4,18,19,26,33,82,79
2,21,26,33,51,88,68
3,8,51,78,79,88,22
1,2,9,24,28,59,85
25,29,35,68,81,86,15
1,12,27,38,52,69,3
5,22,33,43,75,88,21
5,19,26,28,53,71,77
14,21,25,37,40,64,42
9,30,31,38,39,49,7
3,19,29,59,64,67,86
4,6,15,35,44,56,50
17,20,36,75,88,89,73
34,42,45,73,79,89,1
13,17,34,35,65,78,2
21,38,40,59,77,78,13
20,22,25,29,69,70,67
23,28,55,64,66,86,6
10,13,15,67,84,88,30
18,24,32,40,75,89,61
27,30,42,47,68,75,74
10,17,21,23,37,53,45
14,20,22,27,57,79,66
29,38,43,50,53,65,21
11,14,17,23,40,74,85
18,35,55,58,72,75,51
3,21,47,49,69,72,40
18,37,50,54,83,85,3
10,18,63,67,69,85,89
22,25,28,34,44,81,76
2,28,33,62,78,79,18
37,41,56,69,71,80,68
6,21,27,35,42,48,29
32,35,42,56,62,71,36
6,8,14,28,38,39,9
29,41,66,71,75,76,35
33,40,52,62,74,82,18
9,21,41,67,87,89,18
5,17,34,48,73,86,46
15,17,48,49,54,65,6
21,25,52,54,72,80,42
40,41,46,49,61,89,47
12,32,38,57,58,79,59
5,11,14,70,79,81,84
28,44,59,73,77,86,90
23,57,66,70,79,84,8
20,27,58,76,86,87,56
4,27,28,30,74,79,88
10,15,51,52,54,60,78
14,21,29,38,47,53,77
3,22,25,46,59,87,76
6,23,32,48,50,59,67
4,26,42,68,69,73,48
12,18,21,50,51,53,35
13,33,35,46,69,86,25
4,34,53,61,64,82,15
9,53,58,69,71,88,56
7,32,58,65,80,89,85
19,23,28,54,64,80,53
6,28,40,46,67,83,8
4,16,18,33,40,59,32
3,13,44,63,64,70,47
17,18,34,54,63,72,29
4,7,29,45,46,58,85
29,33,56,57,63,75,1
12,15,30,60,81,86,90
28,40,47,71,84,85,13
22,25,45,48,57,81,18
7,28,40,43,59,69,65
8,37,51,68,78,85,42
36,43,45,47,51,72,76
4,8,20,61,73,89,85
12,20,24,59,61,86,66
10,18,44,80,86,88,51
9,15,20,66,86,88,3
40,43,56,59,63,74,62
22,31,42,55,60,62,54
9,24,28,45,66,86,15
31,45,51,53,63,84,42
1,5,10,32,43,86,71
25,38,43,52,76,90,67
24,53,70,76,80,90,59
1,8,52,73,78,81,34
25,28,57,70,76,79,13
2,14,22,36,75,79,40
1,14,15,23,34,39,59
5,18,21,27,48,76,35
9,19,45,66,70,74,38
13,31,36,69,74,77,18
2,32,35,49,63,69,67
19,23,32,69,71,78,76
38,52,55,58,64,71,65
45,57,68,82,84,87,63
3,8,32,72,83,86,15
3,14,28,45,55,85,41
25,31,68,71,78,89,34
